ABalaaaalal,AINL
ABplpaapaap,AVBL
ABplpaapapa,AMsoL
ABplpaapapp,CEMVL
ABplpaappaa,ASHL
ABplpaappap,RIBL
ABplpaapppa,AIML
ABplpaappppa,CEPVL
ABplpaappppp,death
ABplpapaaaa,SMDDL
ABplpapaaap,AIYL
ABplpapaapa,SIADL
ABplpapaapp,SIBVL
ABplpapapaa,exc_gl_L
ABplpapapap,AVKL
ABplpapappa,SIAVL
ABplpapappp,DB5
ABplpappaaa,RMEV
ABplpappaap,exc_cell
ABplpappap,death
ABplpapppaa,K
ABplpapppap,K'
ABplpappppa,PVT
ABplpappppp,rect_D
ABplppaaaaa,SIBDL
ABplppaaaapa,death
ABplppaaaapp,RICL
ABplppaaap,death
ABplppaapaa,death
ABplppaapap,RIML
ABplppaappa,AIAL
ABplppaappp,DB6
ABplppapaaaa,SABVL
ABplppapaaap,RIFL
ABplppapaap,SABD
ABplppapapa,DA2
ABplppapapp,DA4
ABplppappaa,RIGL
ABplppappap,DD1
ABplppapppa,DD3
ABplppapppp,DD5
ABplpppaaaa,DA9
ABplpppaaap,DA6
ABplpppaapaa,PVCL
ABplpppaapap,LUAL
ABplpppaapp,PHAL
ABplpppapaa,PHshL
ABplpppapap,hyp8/9
ABplpppapp,death
ABplppppaaa,PVPL
ABplppppaap,rect_VL
ABplppppapa,U
ABplppppapp,F
ABplpppppaa,mu_int_L
ABplpppppap,mu_anal
ABplppppppa,spike
ABplppppppp,hyp10
ABpraaaaaaa,AVER
ABpraaaaaap,OLQshVR
ABpraaaaapd,OLLshR
ABpraaaaapv,death
ABpraaaapad,RMDR
ABpraaaapav,AFDR
ABpraaaappa,death
ABpraaaapppa,ASKR
ABpraaaapppp,death
ABpraaapaad,ADLR
ABpraaapaav,death
ABpraaapapaa,OLLR
ABpraaapapap,death
ABpraaapapp,death
ABpraaappaa,ADFR
ABpraaappap,AWBR
ABpraaapppaa,ASER
ABpraaapppap,death
ABpraaappppa,ASJR
ABpraaappppp,AUAR
ABpraapaaaa,hyp3
ABpraapaaap,ILsoDR
ABpraapaapa,URBR
ABpraapaapp,AMshR
ABpraapapaa,AWAR
ABpraapapap,ASGR
ABpraapappa,AIBR
ABpraapapppa,ASIR
ABpraapapppp,death
ABpraappaa,hyp4
ABpraappap,hyp6
ABpraapppa,hyp7
ABpraapppp,hyp7
ABprapaaaaa,death
ABprapaaaapa,ADER
ABprapaaaapp,ADAR
ABprapaaapad,FLPR
ABprapaaapav,AIZR
ABprapaaapp,RMGR
ABprapaapa,W
ABprapaapp,P1/2R
ABprapapaaa,QR
ABprapapaap,V5R
ABprapapap,P9/10R
ABprapappa,P12
ABprapapppa,death
ABprapappppaa,PLMR
ABprapappppap,ALNR
ABprapappppp,death
ABprappaaa,P3/4R
ABprappaap,P5/6R
ABprappapa,V3R
ABprappapp,P7/8R
ABprapppaaa,PVQR
ABprapppaap,death
ABprapppapa,death
ABprapppappa,HSNR
ABprapppappp,PHBR
ABprappppa,hyp7
ABprappppp,TR
ABprpaaaaaa,SAAVR
ABprpaaaaap,AWCR
ABprpaaaapa,G1
ABprpaaaapp,DB3/1
ABprpaaapaa,URAVR
ABprpaaapap,CEPshVR
ABprpaaappaa,OLQVR
ABprpaaappap,death
ABprpaaappp,URYVR
ABprpaapaaa,RIVR
ABprpaapaap,AVBR
ABprpaapapa,AMsoR
ABprpaapapp,CEMVR
ABprpaappaa,ASHR
ABprpaappap,RIBR
ABprpaapppa,AIMR
ABprpaappppa,CEPVR
ABprpaappppp,death
ABprpapaaaa,SMDDR
ABprpapaaap,AIYR
ABprpapaapa,SIADR
ABprpapaapp,SIBVR
ABprpapapaa,exc_gl_R
ABprpapapap,AVKR
ABprpapappa,SIAVR
ABprpapappp,DA8
ABprpappaaa,RIH
ABprpappaap,AVL
ABprpappapa,RIS
ABprpappapp,DB4
ABprpapppaa,RIR
ABprpapppap,AVG
ABprpappppa,virR
ABprpappppp,virL
ABprppaaaaa,SIBDR
ABprppaaaapa,death
ABprppaaaapp,RICR
ABprppaaap,death
ABprppaapaa,death
ABprppaapap,RIMR
ABprppaappa,AIAR
ABprppaappp,DB7
ABprppapaaaa,SABVR
ABprppapaaap,RIFR
ABprppapaap,DA1
ABprppapapa,DA3
ABprppapapp,DA5
ABprppappaa,RIGR
ABprppappap,DD2
ABprppapppa,DD4
ABprppapppp,DD6
ABprpppaaaa,PDA/Y
ABprpppaaap,DA7
ABprpppaapaa,PVCR
ABprpppaapap,LUAR
ABprpppaapp,PHAR
ABprpppapaa,PHshR
ABprpppapap,hyp8/9
ABprpppapp,death
ABprppppaaa,PVPR
ABprppppaap,rect_VR
ABprppppapa,B
ABprppppapp,DVA
ABprpppppaa,mu_bod
ABprpppppap,mu_sph
ABprppppppa,spike
ABprppppppp,hyp10
MSaaaaaal,GLRDL
MSaaaaaar,GLRDR
MSaaaaapaa,I3
MSaaaaapap,g1P
MSaaaaapp,m4DL
MSaaaapaa,I4
MSaaaapap,m5DL
MSaaaappa,death
MSaaaappp,m7D
MSaaapaaa,m3DL
MSaaapaap,m4L
MSaaapapa,mc3DL
MSaaapapp,m8
MSaaappa,death
MSaaappp,vpi3D
MSaapaaaa,m4VL
MSaapaaap,m5VL
MSaapaapaa,g1AL
MSaapaapap,death
MSaapaapp,m7VL
MSaapapaa,g2L
MSaapapap,death
MSaapappa,m6VL
MSaapappp,vpi2DL
MSaappaa,vpi2V
MSaappap,vpi3V
MSaapppaa,mu_bod
MSaapppap,mu_bod
MSaappppa,mu_bod
MSaappppp,mu_bod
MSapaaaad,GLRL
MSapaaaav,GLRVL
MSapaaap,mu_bod
MSapaapa,death
MSapaapp,M
MSapapaaa,ccAL
MSapapaap,ccPL
MSapapap,mu_bod
MSapappa,mu_bod
MSapappp,mu_bod
MSappaaa,hmc
MSappaap,Z4
MSappapa,death
MSappapp,mu_bod
MSapppaa,mu_bod
MSapppap,mu_bod
MSappppa,mu_bod
MSappppp,mu_bod
MSpaaaaaa,M4
MSpaaaaap,death
MSpaaaapa,m3DR
MSpaaaapp,m4DR
MSpaaapaa,I6
MSpaaapap,M5
MSpaaappa,m5DR
MSpaaappp,m6D
MSpaapaaa,M1
MSpaapaap,death
MSpaapapa,mc3DR
MSpaapapp,vpi1
MSpaapp,death
MSpapaaaa,m4VR
MSpapaaap,m5VR
MSpapaapaa,g1AR
MSpapaapap,death
MSpapaapp,m7VR
MSpapapaa,g2R
MSpapapap,death
MSpapappa,m6VR
MSpapappp,vpi2DR
MSpappaa,mu_bod
MSpappap,mu_bod
MSpapppaa,mu_bod
MSpapppap,mu_bod
MSpappppa,mu_bod
MSpappppp,mu_bod
MSppaaaad,GLRR
MSppaaaav,GLRVR
MSppaaap,mu_bod
MSppaapa,death
MSppaapp,mu_int_R
MSppapaaa,ccAR
MSppapaap,ccPR
MSppapap,mu_bod
MSppappa,mu_bod
MSppappp,mu_bod
MSpppaaa,death
MSpppaap,Z1
MSpppapa,death
MSpppapp,mu_bod
MSppppaa,mu_bod
MSppppap,mu_bod
MSpppppa,mu_bod
MSpppppp,mu_bod
Ealaad,int
Ealaav,int
Ealap,int
Ealpa,int
Ealpp,int
Earaad,int
Earaav,int
Earap,int
Earpa,int
Earpp,int
Eplaa,int
Eplap,int
Eplpa,int
Eplppa,int
Eplppp,int
Epraa,int
Eprap,int
Eprpa,int
Eprppa,int
Eprppp,int
Caaaaa,hyp7
Caaaap,hyp7
Caaapa,hyp7
Caaapp,hyp7
Caapaa,DVC
Caapap,death
Caappd,hyp7
Caappv,PVR
Capaaaa,mu_bod
Capaaap,mu_bod
Capaapa,mu_bod
Capaapp,mu_bod
Capapaa,mu_bod
Capapap,mu_bod
Capappa,mu_bod
Capappp,mu_bod
Cappaaa,mu_bod
Cappaap,mu_bod
Cappapa,mu_bod
Cappapp,mu_bod
Capppaa,mu_bod
Capppap,mu_bod
Cappppd,mu_bod
Cappppv,mu_bod
Cpaaaa,hyp7
Cpaaap,hyp7
Cpaapa,hyp7
Cpaapp,hyp7
Cpapaa,hyp7
Cpapap,hyp7
Cpappd,hyp7
Cpappv,hyp11
Cppaaaa,mu_bod
Cppaaap,mu_bod
Cppaapa,mu_bod
Cppaapp,mu_bod
Cppapaa,mu_bod
Cppapap,mu_bod
Cppappa,mu_bod
Cppappp,mu_bod
Cpppaaa,mu_bod
Cpppaap,mu_bod
Cpppapa,mu_bod
Cpppapp,mu_bod
Cppppaa,mu_bod
Cppppap,mu_bod
Cpppppd,mu_bod
Cpppppv,mu_bod
Daaaa,mu_bod
Daaap,mu_bod
Daapa,mu_bod
Daapp,mu_bod
Dapaa,mu_bod
Dapap,mu_bod
Dappaa,mu_bod
Dappap,mu_bod
Dapppa,mu_bod
Dapppp,mu_bod
Dpaaa,mu_bod
Dpaap,mu_bod
Dpapa,mu_bod
Dpapp,mu_bod
Dppaa,mu_bod
Dppap,mu_bod
Dpppaa,mu_bod
Dpppap,mu_bod
Dppppa,mu_bod
Dppppp,mu_bod
Z2,Z2
Z3,Z3
